iteration, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T, trajectory_C, trajectory_D, trajectory_L, trajectory_O, trajectory_P, trajectory_T
0 4 4 N,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.28353 0.52851 0.78062 0.91291 0.96355 0.99221 0.99886 0.99979 0.99997 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.      0.      0.      0.      0.62736 0.89663 0.98346 0.99792 0.99976 0.99997 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.24782 0.3463  0.52222 0.66927 0.78043 0.90278 0.9603  0.98829 0.9963  0.99846 0.99882 0.99922 0.99955 0.99973 0.99984 0.9999  0.99993 0.99995 0.99996 0.99996 0.99997 0.99997 0.99998 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.      0.      0.67427 0.89577 0.979   0.99711 0.99966 0.99996 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.22831 0.30258 0.44476 0.58036 0.68651 0.81345 0.89403 0.97355 0.99618 0.99896 0.99962 0.99984 0.99992 0.99995 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.2564  0.41127 0.56311 0.6816  0.77411 0.92597 0.98614 0.99734 0.99961 0.99989 0.99995 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],['4 4 N' '4 4 N' '3 4 N' '3 4 N' '3 5 N' '3 6 N' '3 6 N' '2 6 N' '2 7 N' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P'],['4 4 N' '4 5 N' '4 6 N' '4 6 N' '4 7 N' '4 8 N' '5 8 N' '6 8 N' '7 8 N' '8 8 N' '8 9 N' '8 9 N' '8 9 N' '8 10 N' '9 10 N' '9 10 N' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D'],['4 4 N' '4 5 N' '4 6 N' '4 6 N' '4 7 N' '4 8 N' '4 9 N' '5 9 N' '5 10 N' '6 10 C' '5 10 C' '5 9 C' '4 9 C' '3 9 C' '3 10 C' '2 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C'],['4 4 N' '4 4 N' '4 3 N' '4 3 N' '5 3 N' '6 3 N' '7 3 N' '8 3 N' '8 2 N' '9 2 N' '10 2 N' '10 1 N' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L'],['4 4 N' '5 4 N' '6 4 N' '6 4 N' '7 4 N' '8 4 N' '8 5 N' '8 6 N' '9 6 N' '9 5 T' '9 4 T' '9 4 T' '9 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T'],['4 4 N' '4 4 N' '4 3 N' '4 3 N' '5 3 N' '6 3 N' '6 3 N' '6 2 N' '6 1 N' '5 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O']
1 8 1 N,[0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.      0.      0.      0.      0.      0.      0.61768 0.84241 0.94605 0.98099 0.99197 0.99625 0.99819 0.99963 0.99992 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.      0.      0.      0.55415 0.84792 0.972   0.99618 0.99954 0.99995 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.43715 0.58232 0.78099 0.90639 0.96996 0.99481 0.99939 0.99994 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.19056 0.39222 0.76209 0.95253 0.99292 0.99892 0.99983 0.99993 0.99996 0.99997 0.99998 0.99998 0.99998 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.22798 0.37561 0.56077 0.72513 0.83143 0.95724 0.99383 0.99832 0.99938 0.99968 0.99979 0.99985 0.99989 0.99992 0.99993 0.99995 0.99996 0.99997 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.40984 0.70561 0.92847 0.98421 0.99644 0.99939 0.99981 0.99991 0.99994 0.99996 0.99996 0.99997 0.99998 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],['8 1 N' '8 2 N' '8 3 N' '7 3 N' '6 3 N' '5 3 N' '5 3 N' '4 3 N' '3 3 N' '3 4 N' '3 5 N' '3 5 N' '3 5 N' '3 6 N' '2 6 N' '1 6 N' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P'],['8 1 N' '8 2 N' '8 3 N' '8 3 N' '8 4 N' '8 5 N' '8 6 N' '8 7 N' '8 8 N' '8 9 N' '8 10 N' '8 10 N' '8 10 N' '9 10 N' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D'],['8 1 N' '8 2 N' '8 3 N' '7 3 N' '7 4 N' '7 5 N' '7 6 N' '7 7 N' '6 7 N' '6 8 N' '6 9 N' '6 9 N' '6 9 N' '6 10 C' '5 10 C' '5 9 C' '4 9 C' '3 9 C' '2 9 C' '2 10 C' '2 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C'],['8 1 N' '8 2 N' '9 2 N' '9 2 N' '10 2 N' '10 1 N' '10 1 N' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L'],['8 1 N' '8 2 N' '8 3 N' '8 3 N' '8 4 N' '8 5 N' '8 6 N' '9 6 N' '9 5 T' '9 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T'],['8 1 N' '8 2 N' '8 3 N' '7 3 N' '6 3 N' '6 2 N' '6 2 N' '5 2 N' '5 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O']
2 1 7 P,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.17972 0.2011  0.22796 0.25889 0.29301 0.32968 0.36831 0.40835 0.4492  0.49029 0.53104 0.57094 0.60951 0.64635 0.68117 0.71373 0.74391 0.77166 0.79698 0.81993 0.84062 0.85918 0.87576 0.89051 0.90361 0.91519 0.92543 0.93446 0.94241 0.9494  0.95554 0.96094 0.96568 0.96983 0.97348 0.97669 0.9795  0.98196 0.98413 0.98603],[0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.56118 0.82268 0.90787 0.969   0.99249 0.99878 0.99984 0.99998 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.17729 0.19436 0.2273  0.27027 0.32437 0.42584 0.58534 0.71454 0.87199 0.95083 0.9857  0.99639 0.99914 0.99976 0.9999  0.99993 0.99995 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999 0.99999],[0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.65819 0.91096 0.98075 0.99729 0.9997  0.99996 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.      0.      0.      0.      0.      0.63278 0.87253 0.96208 0.98767 0.99764 0.99969 0.99991 0.99997 0.99998 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.      0.      0.30893 0.49167 0.64312 0.75395 0.8288  0.88354 0.92116 0.94666 0.96459 0.98987 0.99764 0.99962 0.99989 0.99995 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],['1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P'],['1 7 P' '1 7 P' '1 6 P' '1 6 P' '2 6 P' '3 6 P' '3 7 P' '3 8 P' '4 8 P' '5 8 P' '6 8 P' '6 8 P' '6 8 P' '7 8 P' '8 8 P' '8 8 P' '9 8 P' '10 8 P' '10 9 P' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD' '10 10 PD'],['1 7 P' '1 7 P' '1 6 P' '1 6 P' '2 6 P' '3 6 P' '3 7 P' '3 8 P' '4 8 P' '4 9 P' '5 9 P' '5 9 P' '5 9 P' '5 10 P' '6 10 PC' '5 10 PC' '5 9 PC' '4 9 PC' '3 9 PC' '3 10 PC' '3 10 PC' '2 10 PC' '2 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC' '1 10 PC'],['1 7 P' '1 7 P' '1 6 P' '1 6 P' '2 6 P' '3 6 P' '3 6 P' '3 5 P' '3 4 P' '3 3 P' '4 3 P' '4 3 P' '4 3 P' '5 3 P' '6 3 P' '6 3 P' '7 3 P' '8 3 P' '9 3 P' '9 2 P' '10 2 P' '10 1 P' '10 1 P' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL' '9 1 PL'],['1 7 P' '1 7 P' '1 6 P' '1 6 P' '2 6 P' '3 6 P' '3 7 P' '4 7 P' '5 7 P' '6 7 P' '7 7 P' '7 6 P' '7 6 P' '8 6 P' '9 6 P' '9 5 PT' '10 5 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT' '10 4 PT'],['1 7 P' '1 7 P' '1 6 P' '1 6 P' '2 6 P' '3 6 P' '3 6 P' '3 5 P' '3 4 P' '3 3 P' '4 3 P' '4 3 P' '4 3 P' '5 3 P' '6 3 P' '6 2 P' '5 2 P' '5 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO' '4 1 PO']
3 3 7 N,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.29648 0.53968 0.84403 0.95897 0.99232 0.997   0.99831 0.99882 0.99908 0.99925 0.99937 0.99946 0.99953 0.9996  0.99965 0.9997  0.99974 0.99977 0.9998  0.99983 0.99985 0.99987 0.99988 0.9999  0.99991 0.99992 0.99993 0.99994 0.99995 0.99995 0.99996 0.99996 0.99997 0.99997 0.99997 0.99998 0.99998 0.99998 0.99998 0.99999],[0.      0.      0.      0.      0.      0.50884 0.79841 0.94326 0.98961 0.99845 0.9998  0.99998 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.25225 0.38437 0.62751 0.84798 0.94771 0.98534 0.9956  0.99814 0.99859 0.999   0.99935 0.99956 0.99969 0.99978 0.99983 0.99985 0.99987 0.99989 0.9999  0.99991 0.99992 0.99993 0.99994 0.99994 0.99995 0.99996 0.99996 0.99996 0.99997 0.99997 0.99997 0.99998 0.99998 0.99998 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999],[0.      0.      0.      0.      0.      0.      0.      0.      0.      0.61255 0.87797 0.97165 0.99404 0.99877 0.99983 0.99998 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.21123 0.30447 0.39872 0.48902 0.68767 0.85076 0.91527 0.96345 0.9922  0.99889 0.99967 0.99987 0.99993 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],[0.      0.      0.      0.41997 0.5783  0.70597 0.79231 0.85399 0.9541  0.98886 0.99817 0.99949 0.99976 0.99986 0.9999  0.99993 0.99994 0.99995 0.99996 0.99997 0.99998 0.99998 0.99999 0.99999 0.99999 0.99999 0.99999 1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.     ],['3 7 N' '3 7 N' '3 6 N' '2 6 N' '1 6 N' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P' '1 7 P'],['3 7 N' '3 8 N' '4 8 N' '4 8 N' '5 8 N' '6 8 N' '7 8 N' '8 8 N' '8 9 N' '8 10 N' '9 10 N' '9 10 N' '9 10 N' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D' '10 10 D'],['3 7 N' '3 8 N' '4 8 N' '4 8 N' '4 9 N' '5 9 N' '5 10 N' '6 10 C' '5 10 C' '5 9 C' '4 9 C' '3 9 C' '2 9 C' '1 9 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C' '1 10 C'],['3 7 N' '3 7 N' '3 6 N' '3 5 N' '3 4 N' '3 3 N' '4 3 N' '5 3 N' '6 3 N' '7 3 N' '8 3 N' '8 3 N' '8 3 N' '9 3 N' '9 2 N' '9 2 N' '10 2 N' '10 1 N' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L' '9 1 L'],['3 7 N' '4 7 N' '5 7 N' '5 7 N' '6 7 N' '7 7 N' '7 7 N' '7 6 N' '8 6 N' '9 6 N' '9 5 T' '9 5 T' '9 5 T' '10 5 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T' '10 4 T'],['3 7 N' '3 7 N' '3 6 N' '3 5 N' '3 4 N' '3 3 N' '4 3 N' '5 3 N' '6 3 N' '6 2 N' '6 1 N' '5 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O' '4 1 O']
